Timestamp,1. open,2. high,3. low,4. close,5. volume
01-12-2023,190.33,191.56,189.23,191.24,45704823
30-11-2023,171,192.93,170.12,189.95,1099760711
31-10-2023,171.22,182.34,165.67,170.77,1172845791
29-09-2023,189.485,189.98,167.62,171.21,1337873796
31-08-2023,196.235,196.73,171.96,187.87,1323817340
31-07-2023,193.78,198.23,186.6,196.45,996368613
30-06-2023,177.7,194.48,176.9306,193.97,1297863403
31-05-2023,169.28,179.35,164.31,177.25,1275052503
28-04-2023,164.27,169.85,159.78,169.68,967580718
31-03-2023,146.83,165,143.9,164.9,1520461315
28-02-2023,143.97,157.38,141.32,147.41,1307294493
31-01-2023,130.28,147.23,124.17,144.29,1443652725
30-12-2022,148.21,150.9199,125.87,129.93,1675731304
30-11-2022,155.08,155.45,134.38,148.03,1724948219
31-10-2022,138.21,157.5,134.37,153.34,1868381344
30-09-2022,156.64,164.26,138,138.2,2083968147
31-08-2022,161.01,176.15,157.14,157.22,1509735435
29-07-2022,136.04,163.63,135.66,162.51,1447364668
30-06-2022,149.9,151.74,129.04,136.72,1749297959
31-05-2022,156.71,166.48,132.61,148.84,2400305601
29-04-2022,174.03,178.49,155.38,157.65,1683547838
31-03-2022,164.695,179.61,150.1,174.61,2171827429
28-02-2022,174.01,176.65,152,165.12,1628570227
31-01-2022,177.83,182.94,154.7,174.78,2106513962
31-12-2021,167.48,182.13,157.8,177.57,2443227128
30-11-2021,148.985,165.7,147.48,165.3,1688864233
29-10-2021,141.9,153.165,138.27,149.8,1565079040
30-09-2021,152.83,157.26,141.27,141.5,1797948421
31-08-2021,146.36,153.49,144.5,151.83,1462773381
30-07-2021,136.6,150,135.76,145.86,1916751489
30-06-2021,125.08,137.41,123.13,136.96,1606114354
28-05-2021,132.04,134.07,122.25,124.61,1711935110
30-04-2021,123.66,137.07,122.49,131.46,1889956694
31-03-2021,123.75,128.72,116.21,122.15,2650845211
26-02-2021,133.75,137.877,118.39,121.26,1825486961
29-01-2021,133.52,145.09,126.382,131.96,2239366098
31-12-2020,121.01,138.789,120.01,132.69,2319687808
30-11-2020,109.11,121.99,107.32,119.05,2122724412
30-10-2020,117.64,125.39,107.72,108.86,2895317580
30-09-2020,132.76,137.98,103.1,115.81,3886793083
31-08-2020,432.8,515.14,126,129.04,1184207050
31-07-2020,365.12,425.66,356.58,425.04,755162226
30-06-2020,317.75,372.38,317.21,364.8,810900890
29-05-2020,286.25,324.24,285.85,317.94,701660022
30-04-2020,246.5,294.53,236.9,293.8,816530808
31-03-2020,282.28,304,212.61,254.29,1570331732
28-02-2020,304.3,327.22,256.37,273.36,755223231
31-01-2020,296.24,327.85,292.75,309.51,734044103
31-12-2019,267.27,293.97,256.29,293.65,598871365
29-11-2019,249.54,268,249.16,267.25,448922253
31-10-2019,225.07,249.75,215.13,248.76,621478768
30-09-2019,206.43,226.42,204.22,223.97,547408488
30-08-2019,213.9,218.03,192.58,208.74,683515746
31-07-2019,203.17,221.37,198.41,213.04,473957094
28-06-2019,175.6,201.57,170.27,197.92,515218768
31-05-2019,209.88,215.31,174.99,175.07,739456573
30-04-2019,191.64,208.48,188.38,200.67,506117812
29-03-2019,174.28,197.69,169.5,189.95,650981384
28-02-2019,166.96,175.87,165.93,173.15,472540723
31-01-2019,154.89,169,142,166.44,828099179
31-12-2018,184.46,184.94,146.59,157.74,898917007
30-11-2018,219.05,222.36,170.26,178.58,961321947
31-10-2018,227.95,233.47,206.09,218.86,789748068
28-09-2018,228.41,229.67,215.3,225.74,678972040
31-08-2018,199.13,228.87,197.31,227.63,700318837
31-07-2018,183.82,195.96,183.42,190.29,393843881
29-06-2018,187.99,194.2,180.73,185.11,527624365
31-05-2018,166.41,190.37,165.27,186.87,620976206
30-04-2018,166.64,178.94,160.63,165.26,666360147
29-03-2018,178.54,183.5,164.94,167.78,701387082
28-02-2018,167.17,180.62,150.24,178.12,888378184
31-01-2018,170.16,180.1,164.7,167.43,639245534
